STATE,Total_Population,Avg_AGI,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year,Rural VMT,Urban VMT,Total VMT,PADD_Region,Gasoline_Price,Median_Income,Fatality_Count
Alaska,7788980.0,4.5,500,300,5400,0,62000,3700,0,0,0,484900,41000,16100,2018,2276.520690035,3210.799304395,5487.3199944299995,West Coast (PADD 5),3.3,95440,80.0
Alaska,7788980.0,4.5,700,400,5800,0,64000,3200,0,0,0,473700,40100,14600,2019,2589.85610256,3291.447025075,5881.303127635,West Coast (PADD 5),3.337,82450,67.0
Alaska,7788980.0,4.5,900,400,6200,0,64000,2700,0,0,0,460900,39600,11400,2020,2482.95744,2822.93111,5305.88855,West Coast (PADD 5),2.82,92670,64.0
Alaska,7788980.0,4.5,1300,500,7300,7600,50100,100,0,0,0,464200,31700,6300,2021,2682.07237,3070.11528,5752.18765,West Coast (PADD 5),3.7,87440,70.0
Alaska,7788980.0,4.5,2700,900,10600,9600,46800,0,0,0,0,454300,29800,5100,2023,"         2,467 ","         3,150 ","           5,617 ",West Coast (PADD 5),4.513,93310,76.51724137931035
Alaska,7788980.0,4.5,2000,700,9000,8700,48600,0,0,0,0,457100,30500,5500,2022,2406.10348,3072,"            5,478 ",West Coast (PADD 5),4.952,90850,82.0
Alabama,47258650.0,4.5,1300,1500,31800,0,509500,17000,0,0,0,3733700,135900,46000,2018,28788.27199398,42378.934759875,71167.206753855,Gulf Coast (PADD 3),2.446,62250,953.0
Alabama,47258650.0,4.5,2000,1800,33700,0,543900,15900,0,0,0,3806700,144900,44300,2019,29011.352422055003,42723.27538845,71734.627810505,Gulf Coast (PADD 3),2.283,59900,930.0
Alabama,47258650.0,4.5,2900,2100,36300,0,567600,15100,0,0,0,3863500,154100,41600,2020,27813.55132,40107.94552,67921.49684,Gulf Coast (PADD 3),1.851,66430,934.0
Alabama,47258650.0,4.5,4700,3300,42500,40500,449500,500,100,0,0,4051000,123500,32000,2021,29164.42232,42727.60904,71892.03136,Gulf Coast (PADD 3),2.692,63980,983.0
Alabama,47258650.0,4.5,13000,5800,63300,54200,441200,100,100,0,0,4102200,127000,29000,2023,"       29,230 ","       43,058 ","         72,289 ",Gulf Coast (PADD 3),3.091,62290,1005.9655172413793
Alabama,47258650.0,4.5,8700,4400,50800,48100,449800,100,100,0,0,4077100,126100,30300,2022,29140.51428,42490,"          71,631 ",Gulf Coast (PADD 3),3.517,63750,988.0
